YEAR,MO,DY,PRECTOTCORR,T2M,WS10M
2021,1,1,0.0,17.82,2.05
2021,1,2,0.0,17.71,1.64
2021,1,3,0.0,18.48,1.7
2021,1,4,0.0,18.9,1.95
2021,1,5,0.0,19.37,2.16
2021,1,6,0.0,21.25,1.39
2021,1,7,0.0,21.98,1.37
2021,1,8,0.0,21.99,1.83
2021,1,9,0.0,21.69,1.92
2021,1,10,0.0,22.4,1.29
2021,1,11,0.0,22.79,1.7
2021,1,12,0.0,22.05,1.93
2021,1,13,0.0,21.12,1.53
2021,1,14,0.0,20.59,1.67
2021,1,15,0.0,18.47,2.07
2021,1,16,0.0,18.42,1.93
2021,1,17,0.0,17.89,2.59
2021,1,18,0.0,18.15,1.73
2021,1,19,0.0,19.63,1.69
2021,1,20,0.0,21.63,2.37
2021,1,21,0.0,21.23,1.9
2021,1,22,0.0,19.11,1.83
2021,1,23,0.0,19.31,1.76
2021,1,24,0.0,20.46,1.65
2021,1,25,0.0,22.15,1.51
2021,1,26,0.02,22.1,1.85
2021,1,27,0.0,20.51,2.3
2021,1,28,0.0,20.27,2.17
2021,1,29,0.14,20.87,1.34
2021,1,30,0.01,21.38,2.07
2021,1,31,0.0,18.81,2.17
2021,2,1,0.0,18.4,1.78
2021,2,2,0.0,19.43,1.35
2021,2,3,0.0,20.02,1.26
2021,2,4,0.0,20.22,1.69
2021,2,5,0.0,20.59,1.5
2021,2,6,0.0,21.1,2.0
2021,2,7,0.0,21.88,1.06
2021,2,8,0.0,20.97,1.86
2021,2,9,0.0,20.95,1.26
2021,2,10,0.0,21.51,2.16
2021,2,11,0.0,21.87,2.2
2021,2,12,0.0,22.7,2.16
2021,2,13,0.0,23.31,2.54
2021,2,14,0.0,23.4,1.98
2021,2,15,0.0,24.3,1.95
2021,2,16,0.03,24.22,1.57
2021,2,17,0.24,24.62,1.86
2021,2,18,0.02,24.74,1.55
2021,2,19,0.01,24.49,2.46
2021,2,20,0.0,23.48,2.71
2021,2,21,0.0,24.3,2.24
2021,2,22,0.0,24.5,1.93
2021,2,23,0.0,24.42,2.74
2021,2,24,0.0,24.77,3.17
2021,2,25,0.0,25.49,3.29
2021,2,26,0.0,26.15,3.45
2021,2,27,0.0,26.58,2.75
2021,2,28,0.0,26.89,2.57
2021,3,1,0.0,27.96,2.66
2021,3,2,0.0,27.69,1.6
2021,3,3,0.0,26.19,2.37
2021,3,4,0.0,26.33,1.99
2021,3,5,0.0,27.01,3.53
2021,3,6,0.0,27.44,3.3
2021,3,7,0.01,27.22,1.68
2021,3,8,0.02,27.04,2.23
2021,3,9,0.0,27.74,3.69
2021,3,10,0.0,28.62,3.48
2021,3,11,0.2,28.39,3.44
2021,3,12,2.7,27.72,2.81
2021,3,13,0.95,27.9,2.4
2021,3,14,0.06,28.19,0.97
2021,3,15,0.0,28.39,1.89
2021,3,16,0.01,28.93,1.98
2021,3,17,0.01,29.71,1.71
2021,3,18,0.0,30.11,1.67
2021,3,19,0.0,30.0,1.76
2021,3,20,0.0,30.0,2.49
2021,3,21,0.0,31.5,2.45
2021,3,22,0.0,31.63,1.33
2021,3,23,0.0,31.65,2.16
2021,3,24,0.0,32.36,2.15
2021,3,25,0.0,32.11,2.23
2021,3,26,0.0,31.87,1.99
2021,3,27,0.58,31.69,2.14
2021,3,28,3.31,30.73,3.0
2021,3,29,0.04,31.72,3.38
2021,3,30,0.04,32.67,4.34
2021,3,31,0.0,33.12,4.01
2021,4,1,0.01,31.79,2.74
2021,4,2,0.02,32.02,2.15
2021,4,3,0.03,31.55,3.58
2021,4,4,0.43,31.82,2.55
2021,4,5,1.57,30.92,3.27
2021,4,6,0.05,30.57,4.46
2021,4,7,0.03,30.78,5.24
2021,4,8,3.13,30.83,5.79
2021,4,9,5.27,29.88,4.72
2021,4,10,1.04,30.11,3.04
2021,4,11,0.07,31.59,3.06
2021,4,12,0.5,32.01,2.83
2021,4,13,0.19,32.49,3.16
2021,4,14,1.41,32.68,3.63
2021,4,15,0.99,31.52,3.75
2021,4,16,0.14,31.57,4.19
2021,4,17,0.14,31.55,4.54
2021,4,18,0.62,31.9,4.78
2021,4,19,4.82,32.0,2.94
2021,4,20,0.18,32.43,4.32
2021,4,21,0.36,32.74,4.58
2021,4,22,1.9,32.56,2.47
2021,4,23,0.88,32.77,1.94
2021,4,24,1.46,33.36,2.42
2021,4,25,0.06,33.76,3.69
2021,4,26,0.06,32.84,4.13
2021,4,27,0.09,33.34,3.31
2021,4,28,0.2,32.75,4.18
2021,4,29,0.14,30.77,4.24
2021,4,30,0.67,31.51,4.98
2021,5,1,2.79,31.99,3.63
2021,5,2,0.49,32.31,4.08
2021,5,3,4.27,32.27,4.06
2021,5,4,7.27,30.84,3.71
2021,5,5,2.02,31.41,4.18
2021,5,6,3.34,31.36,4.14
2021,5,7,4.33,31.88,4.18
2021,5,8,6.68,31.42,3.14
2021,5,9,9.04,31.23,4.05
2021,5,10,7.63,31.35,2.85
2021,5,11,9.03,32.2,2.87
2021,5,12,11.6,31.78,2.8
2021,5,13,10.18,32.91,3.69
2021,5,14,11.32,32.3,3.27
2021,5,15,0.35,32.42,3.52
2021,5,16,0.22,31.48,3.82
2021,5,17,0.01,32.12,4.07
2021,5,18,0.0,32.94,4.56
2021,5,19,0.01,32.83,4.49
2021,5,20,0.1,31.58,4.99
2021,5,21,12.55,31.22,4.22
2021,5,22,2.38,31.27,2.27
2021,5,23,0.97,31.88,2.62
2021,5,24,6.26,30.89,4.78
2021,5,25,52.4,26.61,7.98
2021,5,26,78.53,26.92,10.59
2021,5,27,0.13,29.54,6.18
2021,5,28,1.31,30.67,2.95
2021,5,29,0.22,30.67,3.42
2021,5,30,0.21,29.96,3.19
2021,5,31,0.41,31.26,3.04
2021,6,1,4.15,30.74,2.03
2021,6,2,8.45,29.83,1.72
2021,6,3,4.91,29.69,2.62
2021,6,4,0.19,30.57,2.3
2021,6,5,1.54,30.86,2.91
2021,6,6,1.91,31.07,3.05
2021,6,7,1.8,31.28,3.26
2021,6,8,12.33,30.12,3.75
2021,6,9,15.36,28.54,2.08
2021,6,10,2.9,27.19,3.09
2021,6,11,9.31,28.51,2.41
2021,6,12,33.92,28.35,2.21
2021,6,13,20.15,27.82,3.45
2021,6,14,14.22,28.83,3.1
2021,6,15,3.68,28.63,3.69
2021,6,16,3.95,29.08,3.48
2021,6,17,5.32,27.85,3.55
2021,6,18,4.87,27.24,3.53
2021,6,19,4.2,27.86,4.39
2021,6,20,3.61,28.25,3.03
2021,6,21,2.57,29.2,2.35
2021,6,22,47.95,27.41,3.1
2021,6,23,4.55,28.03,4.05
2021,6,24,6.29,28.06,4.9
2021,6,25,2.99,27.81,2.12
2021,6,26,0.75,28.78,2.28
2021,6,27,2.59,27.91,3.04
2021,6,28,0.88,27.84,3.66
2021,6,29,0.34,28.75,3.93
2021,6,30,2.42,28.66,4.57
2021,7,1,0.74,28.89,3.84
2021,7,2,11.38,28.12,3.43
2021,7,3,2.5,28.13,2.14
2021,7,4,8.38,28.31,2.78
2021,7,5,4.79,28.28,2.22
2021,7,6,2.36,28.74,2.12
2021,7,7,19.82,27.94,2.23
2021,7,8,5.9,27.72,3.49
2021,7,9,6.14,28.29,3.53
2021,7,10,6.28,28.32,2.85
2021,7,11,7.49,27.68,3.66
2021,7,12,13.23,28.09,3.95
2021,7,13,8.87,27.76,3.68
2021,7,14,8.31,28.13,3.72
2021,7,15,1.4,28.33,3.33
2021,7,16,0.31,28.42,3.18
2021,7,17,0.17,28.26,3.29
2021,7,18,0.89,28.58,3.59
2021,7,19,4.25,28.42,2.66
2021,7,20,23.74,28.91,1.67
2021,7,21,15.54,28.58,2.55
2021,7,22,39.52,28.03,2.93
2021,7,23,19.87,28.53,2.78
2021,7,24,5.83,28.34,4.05
2021,7,25,1.58,29.01,3.64
2021,7,26,0.89,27.95,3.55
2021,7,27,8.84,27.83,4.24
2021,7,28,2.03,27.39,4.97
2021,7,29,6.86,26.52,5.84
2021,7,30,12.66,26.49,6.33
2021,7,31,0.13,27.95,4.3
2021,8,1,4.81,27.95,3.03
2021,8,2,1.49,28.47,2.49
2021,8,3,2.6,27.45,3.73
2021,8,4,4.79,27.07,3.39
2021,8,5,2.02,28.08,2.6
2021,8,6,6.23,28.64,2.38
2021,8,7,5.26,28.13,2.55
2021,8,8,3.77,28.44,2.89
2021,8,9,3.82,28.55,2.75
2021,8,10,10.31,28.64,2.85
2021,8,11,4.34,28.64,2.77
2021,8,12,4.59,28.93,2.28
2021,8,13,0.24,28.61,1.78
2021,8,14,6.3,29.12,1.95
2021,8,15,3.89,28.97,1.58
2021,8,16,3.48,28.37,2.57
2021,8,17,8.76,27.69,1.77
2021,8,18,4.58,27.53,4.12
2021,8,19,3.23,27.57,4.14
2021,8,20,11.51,27.17,3.62
2021,8,21,5.8,27.61,3.7
2021,8,22,0.6,27.64,2.81
2021,8,23,2.74,28.12,2.67
2021,8,24,7.65,28.38,2.51
2021,8,25,3.84,27.69,2.45
2021,8,26,18.83,27.11,2.96
2021,8,27,16.4,26.73,1.99
2021,8,28,11.12,27.61,2.46
2021,8,29,12.73,27.39,3.64
2021,8,30,10.37,27.37,4.49
2021,8,31,2.98,27.37,3.95
2021,9,1,5.9,27.51,1.92
2021,9,2,0.49,27.55,1.42
2021,9,3,0.13,27.69,1.72
2021,9,4,4.56,27.79,1.85
2021,9,5,12.63,27.89,2.69
2021,9,6,19.5,27.21,5.06
2021,9,7,12.19,27.21,4.67
2021,9,8,10.33,27.11,3.16
2021,9,9,5.16,27.5,1.26
2021,9,10,5.56,27.39,2.22
2021,9,11,7.82,26.78,3.49
2021,9,12,128.04,26.89,4.48
2021,9,13,91.87,26.74,6.79
2021,9,14,34.65,27.55,6.11
2021,9,15,10.14,27.37,3.87
2021,9,16,4.57,27.36,2.03
2021,9,17,2.38,26.23,1.41
2021,9,18,9.79,26.21,2.04
2021,9,19,18.09,25.8,2.07
2021,9,20,8.35,26.69,2.62
2021,9,21,8.65,26.84,2.41
2021,9,22,7.17,26.83,2.38
2021,9,23,3.69,26.52,2.76
2021,9,24,0.17,27.18,1.93
2021,9,25,2.04,27.66,1.51
2021,9,26,11.56,26.63,4.79
2021,9,27,10.22,26.83,4.99
2021,9,28,7.32,26.61,2.25
2021,9,29,2.08,26.19,2.17
2021,9,30,2.46,26.67,2.39
2021,10,1,0.27,26.98,2.34
2021,10,2,0.25,27.41,2.27
2021,10,3,0.99,27.53,2.74
2021,10,4,21.63,27.61,1.89
2021,10,5,17.31,26.95,1.77
2021,10,6,1.22,27.36,1.51
2021,10,7,4.16,27.59,1.67
2021,10,8,6.26,28.08,1.85
2021,10,9,4.67,27.95,1.57
2021,10,10,3.05,27.49,2.06
2021,10,11,1.03,27.38,1.59
2021,10,12,0.2,27.65,1.19
2021,10,13,1.1,26.9,1.89
2021,10,14,9.72,26.73,2.02
2021,10,15,7.21,27.01,2.71
2021,10,16,18.11,26.51,2.25
2021,10,17,11.67,26.47,2.11
2021,10,18,14.66,26.63,3.73
2021,10,19,9.15,27.1,3.79
2021,10,20,2.58,26.62,2.64
2021,10,21,0.01,25.78,2.5
2021,10,22,0.0,24.34,2.51
2021,10,23,0.0,24.18,1.95
2021,10,24,0.0,24.99,1.31
2021,10,25,0.0,24.72,1.33
2021,10,26,0.3,24.07,2.08
2021,10,27,3.57,24.69,3.52
2021,10,28,4.45,24.32,4.18
2021,10,29,3.36,24.74,3.63
2021,10,30,0.21,24.68,2.35
2021,10,31,0.03,24.84,2.03
2021,11,1,3.32,24.64,1.46
2021,11,2,0.38,24.14,2.65
2021,11,3,0.0,24.06,2.29
2021,11,4,0.0,24.14,1.87
2021,11,5,0.0,23.76,1.89
2021,11,6,0.0,23.02,1.89
2021,11,7,0.0,21.61,2.16
2021,11,8,0.0,20.9,2.28
2021,11,9,0.0,20.94,2.29
2021,11,10,0.03,20.87,2.58
2021,11,11,1.47,22.04,2.9
2021,11,12,27.83,23.9,3.43
2021,11,13,11.59,24.65,2.84
2021,11,14,8.96,25.2,2.45
2021,11,15,9.56,25.38,1.81
2021,11,16,2.25,24.86,2.57
2021,11,17,0.08,23.44,3.24
2021,11,18,0.0,22.67,2.47
2021,11,19,0.09,23.23,2.26
2021,11,20,1.03,23.6,2.3
2021,11,21,0.13,24.03,1.58
2021,11,22,2.75,25.72,0.71
2021,11,23,2.64,25.59,1.37
2021,11,24,0.49,23.78,2.48
2021,11,25,0.01,22.77,1.95
2021,11,26,0.02,22.28,1.93
2021,11,27,0.0,21.0,2.2
2021,11,28,0.0,19.49,2.6
2021,11,29,0.0,18.82,2.71
2021,11,30,0.0,18.87,2.6
2021,12,1,0.0,19.1,2.38
2021,12,2,0.0,19.65,2.33
2021,12,3,1.06,19.57,3.17
2021,12,4,13.8,20.93,5.82
2021,12,5,31.99,23.36,5.11
2021,12,6,18.7,24.07,1.93
2021,12,7,0.06,22.15,2.67
2021,12,8,0.04,21.25,3.17
2021,12,9,3.54,20.66,3.53
2021,12,10,0.1,21.3,2.19
2021,12,11,0.0,21.3,1.92
2021,12,12,0.0,19.57,2.89
2021,12,13,0.0,19.23,2.24
2021,12,14,0.0,19.08,1.71
2021,12,15,0.0,18.75,1.67
2021,12,16,0.0,17.89,2.68
2021,12,17,0.0,17.5,2.35
2021,12,18,0.0,18.62,2.45
2021,12,19,0.0,18.0,1.56
2021,12,20,0.0,16.11,1.99
2021,12,21,0.0,14.31,2.39
2021,12,22,0.0,14.1,2.66
2021,12,23,0.0,15.61,1.81
2021,12,24,0.0,17.47,1.27
2021,12,25,0.0,18.66,1.44
2021,12,26,0.0,19.97,1.53
2021,12,27,0.03,20.13,1.53
2021,12,28,0.92,19.8,2.09
2021,12,29,2.56,19.95,2.09
2021,12,30,2.55,19.88,2.43
2021,12,31,0.01,19.3,2.28
2022,1,1,0.0,18.71,2.23
2022,1,2,0.0,17.76,2.16
2022,1,3,0.0,17.32,1.93
2022,1,4,0.0,17.37,1.84
2022,1,5,0.0,18.07,1.43
2022,1,6,0.0,19.26,1.11
2022,1,7,0.0,18.99,1.77
2022,1,8,0.0,18.53,1.77
2022,1,9,0.0,18.95,1.47
2022,1,10,0.0,19.82,1.13
2022,1,11,3.93,20.17,1.5
2022,1,12,11.32,18.69,2.04
2022,1,13,4.41,19.02,2.43
2022,1,14,4.45,18.91,4.09
2022,1,15,2.03,18.03,2.81
2022,1,16,0.0,17.8,2.52
2022,1,17,0.0,17.27,1.95
2022,1,18,0.0,17.06,1.54
2022,1,19,0.0,17.3,1.27
2022,1,20,0.0,17.74,1.7
2022,1,21,0.03,18.55,1.58
2022,1,22,0.04,19.91,1.39
2022,1,23,6.24,20.86,2.82
2022,1,24,4.4,21.0,2.71
2022,1,25,0.01,19.56,1.47
2022,1,26,0.08,18.98,1.9
2022,1,27,0.0,16.6,2.77
2022,1,28,0.0,15.25,2.71
2022,1,29,0.0,14.64,2.53
2022,1,30,0.0,15.58,2.84
2022,1,31,0.0,17.58,2.08
2022,2,1,0.0,18.36,2.57
2022,2,2,0.0,18.86,1.96
2022,2,3,0.12,19.89,3.07
2022,2,4,9.0,21.51,4.2
2022,2,5,0.05,17.3,3.1
2022,2,6,0.0,17.44,2.02
2022,2,7,0.0,18.16,1.47
2022,2,8,0.0,18.26,1.87
2022,2,9,0.0,19.42,1.99
2022,2,10,0.01,20.27,2.12
2022,2,11,0.0,19.51,2.53
2022,2,12,0.0,18.16,2.84
2022,2,13,0.0,18.42,1.93
2022,2,14,0.0,18.88,1.52
2022,2,15,0.0,19.14,1.55
2022,2,16,0.0,19.92,1.87
2022,2,17,0.33,21.4,1.71
2022,2,18,0.29,21.48,1.6
2022,2,19,0.08,21.93,1.48
2022,2,20,8.65,22.68,2.75
2022,2,21,0.25,22.18,1.61
2022,2,22,0.0,21.82,1.63
2022,2,23,0.03,22.91,1.99
2022,2,24,0.0,23.18,2.86
2022,2,25,0.28,23.56,2.81
2022,2,26,0.44,23.52,1.8
2022,2,27,0.04,23.76,1.79
2022,2,28,0.0,24.66,2.11
2022,3,1,0.06,25.05,1.62
2022,3,2,0.13,24.77,1.61
2022,3,3,0.0,25.04,1.41
2022,3,4,0.0,25.13,1.54
2022,3,5,0.0,25.92,1.7
2022,3,6,0.0,25.36,2.42
2022,3,7,0.0,25.67,1.45
2022,3,8,0.0,26.21,1.16
2022,3,9,0.0,26.04,1.64
2022,3,10,0.0,27.0,1.53
2022,3,11,0.0,26.77,1.6
2022,3,12,0.0,26.88,1.12
2022,3,13,0.0,26.67,2.08
2022,3,14,0.0,27.73,1.15
2022,3,15,0.0,27.83,1.76
2022,3,16,0.0,28.1,2.78
2022,3,17,0.0,28.51,3.83
2022,3,18,0.0,28.01,3.82
2022,3,19,0.0,27.63,2.89
2022,3,20,0.0,28.35,3.3
2022,3,21,0.0,29.16,2.58
2022,3,22,0.0,30.07,2.58
2022,3,23,0.0,30.14,3.1
2022,3,24,0.0,29.72,3.49
2022,3,25,0.0,29.8,4.22
2022,3,26,0.0,31.01,4.15
2022,3,27,0.0,31.15,1.87
2022,3,28,0.0,30.73,2.31
2022,3,29,0.0,30.26,3.55
2022,3,30,0.0,30.41,4.02
2022,3,31,0.0,30.44,4.74
2022,4,1,0.0,30.62,5.49
2022,4,2,0.0,31.01,5.04
2022,4,3,0.0,30.67,4.53
2022,4,4,0.0,30.55,5.74
2022,4,5,0.0,30.58,5.05
2022,4,6,0.02,30.28,4.6
2022,4,7,0.12,30.36,4.4
2022,4,8,0.06,30.62,4.95
2022,4,9,0.03,31.31,5.09
2022,4,10,0.01,31.7,5.42
2022,4,11,0.01,31.96,5.57
