rainfall,water_level,elevation,drainage,humidity,soil_type,population_density,distance_to_river,historical_flood_freq,drainage_capacity,flood
135.6,2.1,3,1,73.4,2,2,1.9,2,563,1
195.4,3.9,1,2,77.6,1,2,4.6,3,586,1
151.0,2.4,1,2,75.8,1,2,1.7,3,646,1
83.8,1.4,1,2,56.8,2,1,0.9,4,586,1
200.2,3.8,1,1,77.5,2,2,1.2,3,597,1
61.3,0.9,1,1,54.8,1,2,0.2,1,912,0
117.0,2.4,2,1,65.6,1,3,2.1,1,901,1
87.0,2.1,1,2,51.4,3,1,0.5,2,351,1
63.3,1.2,1,3,43.4,3,1,5.0,0,563,0
118.9,2.5,2,1,65.4,1,2,1.6,4,305,1
239.7,3.6,1,2,100.0,2,3,4.3,0,924,1
98.6,1.6,1,3,63.3,2,2,9.3,1,218,0
122.9,2.3,1,2,63.7,2,3,5.7,2,613,1
130.2,2.0,2,2,74.1,3,3,9.1,2,967,1
139.3,2.6,1,3,75.2,1,3,2.5,2,282,1
62.0,1.5,1,1,60.0,2,3,0.5,2,846,1
201.6,3.0,1,1,87.8,2,3,8.2,1,623,1
208.4,3.4,2,1,90.3,2,1,6.1,1,309,1
15.5,0.3,1,3,47.1,2,3,6.0,4,676,0
241.8,4.6,2,3,90.8,3,2,3.5,1,922,1
197.1,3.8,2,2,75.2,1,3,2.9,1,253,1
158.5,2.9,2,1,72.3,1,1,0.1,1,551,1
3.9,0.2,1,1,46.4,1,2,4.1,0,643,0
136.8,2.8,1,1,68.2,3,2,0.3,2,918,1
77.3,1.3,1,1,56.3,2,2,0.9,2,597,1
57.0,0.8,1,2,46.7,2,1,2.4,3,609,0
49.0,0.8,1,3,48.0,1,2,1.8,3,922,0
48.4,0.9,2,3,50.6,3,3,0.1,0,919,0
48.6,0.7,1,2,53.2,3,2,5.2,2,525,0
52.6,0.8,1,1,49.3,2,1,6.3,0,361,0
39.0,0.8,2,1,45.9,1,3,3.4,0,364,0
37.9,0.7,2,1,52.5,1,2,2.3,1,691,0
54.5,0.9,1,2,53.6,2,1,9.7,1,680,0
55.8,0.4,2,3,54.5,2,2,0.4,2,371,0
24.8,0.4,1,1,53.1,1,3,4.0,3,286,0
12.0,0.1,2,1,40.1,2,2,0.4,4,615,0
115.3,2.4,2,1,65.1,1,2,1.4,3,358,1
75.3,1.3,2,1,59.3,2,2,2.6,0,210,0
37.4,0.3,2,2,43.9,2,2,4.0,1,289,0
152.5,2.8,1,1,74.7,1,1,0.1,1,815,1
